buy_ratio,buy_count_ratio,price_change_pct,trade_count,total_volume,whale_amount,whale_side_bid,hour,price_volatility,label_1m,label_5m,label_30m,coin,timestamp
0.564413484827448,0.5260416666666666,-0.21856950708125641,960,7.60715976,100891000.0,1,21,0.0860573111387,1,0,1,KRW-BTC,2026-03-27 21:31:29.697000
0.786911631008698,0.6802507836990596,0.20017044215866975,638,6.67485575,183625671.13016,1,22,0.03668343607399583,1,1,0,KRW-BTC,2026-03-27 22:01:37.458000
0.29181439992424607,0.5900621118012422,0.01683651741589169,644,5.79512136,255078332.20232,1,22,0.023762256455171993,1,1,0,KRW-BTC,2026-03-27 22:20:44.001000
0.6649780224077134,0.6075353218210361,0.17527876255174188,637,9.24331918,112176527.13223,0,22,0.04945569111667495,0,0,0,KRW-BTC,2026-03-27 22:22:07.767000
0.6807444025006593,0.5353982300884956,-0.24837467963624488,904,13.50690295,147083520.49836,1,22,0.13010576284729525,1,0,0,KRW-BTC,2026-03-27 22:32:42.768000
0.713705268145481,0.5364238410596026,-0.24837467963624488,906,15.06517845,129516306.86112,1,22,0.1303585048089513,1,0,0,KRW-BTC,2026-03-27 22:32:42.849000
0.6622611539502227,0.5004608294930876,-0.40067273446774837,1085,19.74858643,240592643.3867,0,22,0.16674976565341662,0,1,0,KRW-BTC,2026-03-27 22:35:06.018000
0.5273766492686641,0.47728726807421623,-0.4460268011669881,1563,31.56340443,125876910.43064,1,22,0.19262144814066928,1,1,1,KRW-BTC,2026-03-27 22:37:50.489000
0.5476640559326869,0.4849056603773585,-0.3905284492560186,1590,33.03835993,102433378.35249999,1,22,0.18810757337907638,1,1,1,KRW-BTC,2026-03-27 22:38:00.591000
0.5712172704256969,0.48602673147023084,-0.2372948388372553,1646,35.3909243,285042500.0,0,22,0.18509437087005656,1,1,0,KRW-BTC,2026-03-27 22:38:12.759000
0.3436075532759471,0.39875872769588827,-0.4875925980872128,1289,13.6019705,100799999.49768,1,22,0.15898889808198685,0,0,0,KRW-BTC,2026-03-27 22:53:33.768000
0.4206031254249391,0.4131396083385976,-0.508451011936682,1583,16.90841573,103061338.19999999,0,23,0.18570327386416494,0,0,1,KRW-BTC,2026-03-27 23:22:22.748000
0.3965395512421788,0.4128787878787879,-0.508451011936682,1584,17.93711573,113237578.86728,0,23,0.18576757344552336,0,0,1,KRW-BTC,2026-03-27 23:22:23.268000
0.44643522068772434,0.44244408074195307,-0.5219985085756897,1833,24.59550751,100080000.0,1,23,0.21734748401523737,1,0,1,KRW-BTC,2026-03-27 23:24:04.707000
0.6294040093313487,0.6164921465968587,0.2916878939534698,764,15.14600065,100400000.0,1,23,0.09717691116236025,0,1,0,KRW-BTC,2026-03-27 23:53:20.177000
0.3791949443951541,0.41717049576783555,-0.1034373010821133,827,11.02267907,140214049.0322,1,0,0.05615053789924633,1,1,1,KRW-BTC,2026-03-28 00:08:02.397000
0.5005339820117721,0.5679245283018868,-0.06261989722385122,530,7.21325448,100544000.0,1,0,0.02993498959335169,0,1,1,KRW-BTC,2026-03-28 00:19:27.167000
0.45187513673358226,0.49201277955271566,-0.32803180914512925,626,8.95169445,116191307.77720001,1,0,0.1407646752145047,1,1,1,KRW-BTC,2026-03-28 00:23:40.127000
0.4526015847551079,0.5315985130111525,0.42738440742654954,807,15.78533357,128971177.5,0,0,0.13068394878267342,0,0,0,KRW-BTC,2026-03-28 00:38:05.687000
0.2776397324149613,0.39231824417009603,-0.47559946383358986,729,6.04935714,200474000.0,1,1,0.11563717509965664,1,0,0,KRW-BTC,2026-03-28 01:01:59.770000
0.3499922621237751,0.37662337662337664,-0.11176306230790724,539,6.5550964,137197984.924,1,1,0.11030557961096209,1,1,1,KRW-BTC,2026-03-28 01:26:03.801000
0.12416593794424327,0.41335740072202165,-0.14279580200313552,1108,10.73346108,180835207.0,0,2,0.0757030067238692,1,0,0,KRW-BTC,2026-03-28 02:44:26.137000
0.594010185324605,0.7706093189964157,0.23796668466414703,279,1.9187917,100271099.52876,1,3,0.06255367151985716,1,1,0,KRW-BTC,2026-03-28 03:37:03.357000
0.6372000076578798,0.68,-0.004983206593778965,200,1.58390479,156744276.01524,0,4,0.02405981460913608,0,1,0,KRW-BTC,2026-03-28 04:51:28.187000
0.31357362543090256,0.578698224852071,-0.0924361395487526,845,8.33853469,108481612.2624,1,10,0.04439470511008792,1,1,1,KRW-BTC,2026-03-28 10:46:13.381000
